ptid;enid;name;fullname
5530;8945;536202PåkjFortsIEgetKjfTilkjøringsvegMotgTrafikkAt;536.202 - Påkj. forts. i eget kjf., tilkjøringsveg, motg. trafikk atskilt, 2 gjg. felt i fartsretn.
5530;8946;536203PåkjFortsIEgetKjfTilkjøringsvegMotgTrafikkAt;536.203 - Påkj. forts. i eget kjf., tilkjøringsveg, motg. trafikk atskilt, 3 gjg. felt i fartsretn.
5530;8947;536204PåkjFortsIEgetKjfTilkjøringsvegMotgTrafikkAt;536.204 - Påkj. forts. i eget kjf., tilkjøringsveg, motg. trafikk atskilt, 4 gjg. felt i fartsretn.
5530;9426;536205PåkjøringFortsIEgetFeltTilkjVegMotgTrafikkAd;536.205 - Påkjøring forts. i eget felt, tilkj.veg, motg. trafikk adsk., 5 gjg. felt i fartsretning
5530;9427;536206PåkjøringFortsIEgetFeltTilkjVegMotgTrafikkAd;536.206 - Påkjøring forts. i eget felt, tilkj.veg, motg. trafikk adsk., 6 gjg. felt i fartsretning
5530;8948;536211PåkjFortsIEgetKjfTilkjøringsveg1FeltMot1GjgF;536.211 - Påkj. forts. i eget kjf., tilkjøringsveg, 1 felt mot 1, gjg. felt i fartsretn.
5530;9428;536212PåkjøringFortsIEgetFeltTilkjVeg1FeltMot2GjgF;536.212 - Påkjøring forts. i eget felt, tilkj.veg, 1 felt mot, 2 gjg. felt i fartsretning
5530;9429;536213PåkjøringFortsIEgetFeltTilkjVeg1FeltMot3GjgF;536.213 - Påkjøring forts. i eget felt, tilkj.veg, 1 felt mot, 3 gjg. felt i fartsretning
5530;8949;536221PåkjFortsIEgetKjfTilkjøringsveg2FeltMot1GjgF;536.221 - Påkj. forts. i eget kjf., tilkjøringsveg, 2 felt mot 1, gjg. felt i fartsretn.
5530;9430;536222PåkjøringFortsIEgetFeltTilkjVeg2FeltMot2GjgF;536.222 - Påkjøring forts. i eget felt, tilkj.veg, 2 felt mot, 2 gjg. felt i fartsretning
5530;9431;536223PåkjøringFortsIEgetFeltTilkjVeg2FeltMot3GjgF;536.223 - Påkjøring forts. i eget felt, tilkj.veg, 2 felt mot, 3 gjg. felt i fartsretning
5530;8950;53802KjørefeltinndelingMotgåendeTrafikkAdskilt2Gje;538.02 - Kjørefeltinndeling, motgående trafikk adskilt, 2 gjennomgående felt i fartsretning
5530;8951;53803KjørefeltinndelingMotgåendeTrafikkAdskilt3Gje;538.03 - Kjørefeltinndeling, motgående trafikk adskilt, 3 gjennomgående felt i fartsretning
5530;8952;53804KjørefeltinndelingMotgåendeTrafikkAdskilt4Gje;538.04 - Kjørefeltinndeling, motgående trafikk adskilt, 4 gjennomgående felt i fartsretning
5530;8953;53805KjørefeltinndelingMotgåendeTrafikkAdskilt5Gje;538.05 - Kjørefeltinndeling, motgående trafikk adskilt, 5 gjennomgående felt i fartsretning
5530;9432;53806KjørefeltinndelingMotgåendeTrafikkAdskilt6Gje;538.06 - Kjørefeltinndeling, motgående trafikk adskilt, 6 gjennomgående felt i fartsretning
5530;7723;53812Kjørefeltinndeling1FeltMot2GjennomgåendeFeltI;538.12 - Kjørefeltinndeling, 1 felt mot, 2 gjennomgående felt i fartsretning
5530;8954;53813Kjørefeltinndeling1FeltMot3GjennomgåendeFeltI;538.13 - Kjørefeltinndeling, 1 felt mot, 3 gjennomgående felt i fartsretning
5530;8955;53821Kjørefeltinndeling2FeltMot1GjennomgåendeFeltI;538.21 - Kjørefeltinndeling, 2 felt mot, 1 gjennomgående felt i fartsretning
5530;8956;53822Kjørefeltinndeling2FeltMot2GjennomgåendeFeltI;538.22 - Kjørefeltinndeling, 2 felt mot, 2 gjennomgående felt i fartsretning
5530;9433;53823Kjørefeltinndeling2FeltMot3GjennomgåendeFeltI;538.23 - Kjørefeltinndeling, 2 felt mot, 3 gjennomgående felt i fartsretning
