ptid;enid;name;fullname
1996;3430;foliemembran;Foliemembran
1996;3431;ikkeMembran;Ikke membran
1650;3294;heleProfilet;Hele profilet
1650;3296;himling;Himling
1650;3302;såle;Såle
4130;5096;stauder;Stauder
4130;5098;utplantningsplanter;Utplantningsplanter
4130;5099;løkbeplantninger;Løkbeplantninger
4130;9814;roser;Roser
4130;9818;klatreplanter;Klatreplanter
4130;16181;sedummatter;Sedummatter
8783;11623;statensVegvesen;Statens vegvesen
8783;11621;kommune;Kommune
8783;11622;privat;Privat
8783;17760;uavklart;Uavklart
9390;13132;autoPASSManuell;AutoPASS + manuell
9390;13133;autoPASSAutomatisk;AutoPASS + automatisk
9390;13134;kunManuell;Kun manuell
7992;10258;stat;Stat
7992;10720;fylkeskommune;Fylkeskommune
7992;10322;kommune;Kommune
7992;10386;privat;Privat
7992;17577;uavklart;Uavklart
9404;13253;ja;Ja
9404;13254;nei;Nei
9414;13259;medMetrering;Med metrering
9414;13260;motMetrering;Mot metrering
9414;13261;beggeRetninger;Begge retninger
9409;13255;ja;Ja
9409;13256;nei;Nei
9412;13257;ja;Ja
9412;13258;nei;Nei
5799;8194;statensVegvesen;Statens vegvesen
5799;8220;kommune;Kommune
5799;8246;privat;Privat
5799;17687;uavklart;Uavklart
8035;10301;stat;Stat
8035;10762;fylkeskommune;Fylkeskommune
8035;10365;kommune;Kommune
8035;10429;privat;Privat
8035;17656;uavklart;Uavklart
3774;4834;optiskt;Optiskt
3774;16015;gass;Gass
3774;4835;termisk;Termisk
3774;16016;iRKamera;IR-kamera
3774;16027;kombinert;Kombinert
3774;4833;manuell;Manuell
8110;10504;statensVegvesen;Statens vegvesen
8110;10582;kommune;Kommune
8110;10660;privat;Privat
8110;17751;uavklart;Uavklart
8033;10299;stat;Stat
8033;10760;fylkeskommune;Fylkeskommune
8033;10363;kommune;Kommune
8033;10427;privat;Privat
8033;17654;uavklart;Uavklart
3777;5041;sprinkleranlegg;Sprinkleranlegg
3777;5042;hallogenBrannslokkingsanlegg;Hallogen brannslokkingsanlegg
3777;13036;vanntåke;Vanntåke
8108;10502;statensVegvesen;Statens vegvesen
8108;10580;kommune;Kommune
8108;10658;privat;Privat
8108;17749;uavklart;Uavklart
4021;16018;5;5
4021;5049;6;6
4021;5050;12;12
3739;16019;ja;Ja
3739;16020;nei;Nei
1206;3373;pulverapparat;Pulverapparat
1206;5048;skumapparat;Skumapparat
1206;4917;cOApparat;CO-apparat
8034;10300;stat;Stat
8034;10761;fylkeskommune;Fylkeskommune
8034;10364;kommune;Kommune
8034;10428;privat;Privat
8034;17642;uavklart;Uavklart
8109;10503;statensVegvesen;Statens vegvesen
8109;10581;kommune;Kommune
8109;10659;privat;Privat
8109;17750;uavklart;Uavklart
2110;4624;skjønn;Skjønn
2110;4625;målt;Målt
1263;7304;vegbru;Vegbru
1263;7305;bruIFylling;Bru i fylling
1263;7306;gSBru;G/S-bru
1263;7307;ferjeleie;Ferjeleie
1263;7309;tunnelVegoverbygg;Tunnel/Vegoverbygg
1263;7310;støttekonstruksjon;Støttekonstruksjon
1263;7311;jernbanebru;Jernbanebru
1263;7312;annenByggvKategori;Annen byggv.kategori
9182;12333;kulvertRør1;Kulvert/rør (1)
9182;12334;kulvertRør10;Kulvert/rør (10)
9182;12335;kulvertRør100;Kulvert/rør (100)
9182;12336;kulvertPlassp11;Kulvert, plassp (11)
9182;12337;kulvertPlassp110;Kulvert, plassp (110)
9182;12338;kulvertPlassp111;Kulvert, plassp (111)
9182;12339;kulvertPlassp112;Kulvert, plassp (112)
9182;12340;kulvertPlassp113;Kulvert, plassp (113)
9182;12341;kulvertPlassp114;Kulvert, plassp (114)
9182;12342;kulvertPlassp119;Kulvert, plassp (119)
9182;12343;kulvertPref12;Kulvert, pref. (12)
9182;12344;kulvertPref120;Kulvert, pref. (120)
9182;12345;kulvertPref121;Kulvert, pref. (121)
9182;12346;kulvertPref122;Kulvert, pref. (122)
9182;12347;kulvertPref123;Kulvert, pref. (123)
9182;12348;kulvertPref124;Kulvert, pref. (124)
9182;12349;kulvertPref129;Kulvert, pref. (129)
9182;12350;bjelkeramme13;Bjelkeramme (13)
9182;12351;bjelkeramme130;Bjelkeramme (130)
9182;12352;bjelkeramme131;Bjelkeramme (131)
9182;12353;bjelkeramme132;Bjelkeramme (132)
9182;12354;bjelkeramme133;Bjelkeramme (133)
9182;12355;bjelkeramme134;Bjelkeramme (134)
9182;12356;bjelkeramme139;Bjelkeramme (139)
9182;12357;rørKorrugert14;Rør, korrugert (14)
9182;12358;rørKorrugert140;Rør, korrugert (140)
9182;12359;rørKorrugert141;Rør, korrugert (141)
9182;12360;rørKorrugert142;Rør, korrugert (142)
9182;12361;rørKorrugert143;Rør, korrugert (143)
9182;12362;rørKorrugert144;Rør, korrugert (144)
9182;12363;rørKorrugert145;Rør, korrugert (145)
9182;12364;rørKorrugert149;Rør, korrugert (149)
9182;12365;rørGlattveg15;Rør, glattveg. (15)
9182;12366;rørGlattveg150;Rør, glattveg. (150)
9182;12367;rørGlattveg151;Rør, glattveg. (151)
9182;12368;rørGlattveg152;Rør, glattveg. (152)
9182;12369;rørGlattveg153;Rør, glattveg. (153)
9182;12370;rørGlattveg154;Rør, glattveg. (154)
9182;12371;rørGlattveg155;Rør, glattveg. (155)
9182;12372;rørGlattveg159;Rør, glattveg. (159)
9182;12373;hvelv16;Hvelv (16)
9182;12374;hvelv160;Hvelv (160)
9182;12375;hvelv161;Hvelv (161)
9182;12376;hvelv162;Hvelv (162)
9182;12377;hvelv163;Hvelv (163)
9182;12378;hvelv164;Hvelv (164)
9182;12379;hvelv169;Hvelv (169)
9182;12380;hvelv17;Hvelv (17)
9182;12381;hvelv170;Hvelv (170)
9182;12382;hvelv171;Hvelv (171)
9182;12383;hvelv172;Hvelv (172)
9182;12384;hvelv173;Hvelv (173)
9182;12385;hvelv174;Hvelv (174)
9182;12386;hvelv175;Hvelv (175)
9182;12387;hvelv179;Hvelv (179)
9182;12388;kulvertAndre19;Kulvert, andre (19)
9182;12389;kulvertAndre190;Kulvert, andre (190)
9182;12390;platebru2;Platebru (2)
9182;12391;platebru20;Platebru (20)
9182;12392;platebru200;Platebru (200)
9182;12393;platebru21;Platebru (21)
9182;12394;platebru210;Platebru (210)
9182;12395;platebru211;Platebru (211)
9182;12396;platebru212;Platebru (212)
9182;12397;platebru213;Platebru (213)
9182;12398;platebru214;Platebru (214)
9182;12399;platebru215;Platebru (215)
9182;12400;platebru219;Platebru (219)
9182;12401;platebru22;Platebru (22)
9182;12402;platebru220;Platebru (220)
9182;12403;platebru221;Platebru (221)
9182;12404;platebru222;Platebru (222)
9182;12405;platebru223;Platebru (223)
9182;12406;platebru229;Platebru (229)
9182;12407;bjPlatebru23;Bj.platebru (23)
9182;12408;bjPlatebru230;Bj.platebru (230)
9182;12409;bjPlatebru231;Bj.platebru (231)
9182;12410;bjPlatebru232;Bj.platebru (232)
9182;12411;bjPlatebru233;Bj.platebru (233)
9182;12412;bjPlatebru239;Bj.platebru (239)
9182;12413;bjPlatebru24;Bj.platebru (24)
9182;12414;bjPlatebru240;Bj.platebru (240)
9182;12415;bjPlatebru241;Bj.platebru (241)
9182;12416;bjPlatebru242;Bj.platebru (242)
9182;12417;bjPlatebru243;Bj.platebru (243)
9182;12418;bjPlatebru249;Bj.platebru (249)
9182;12419;ribbeplatebru25;Ribbeplatebru (25)
9182;12420;ribbeplatebru250;Ribbeplatebru (250)
9182;12421;platebru26;Platebru (26)
9182;12422;platebru260;Platebru (260)
9182;12423;platebru261;Platebru (261)
9182;12424;platebru262;Platebru (262)
9182;12425;platebru269;Platebru (269)
9182;12426;plateelemBru27;Plateelem.bru (27)
9182;12427;plateelemBru270;Plateelem.bru (270)
9182;12428;plateelemBru271;Plateelem.bru (271)
9182;12429;plateelemBru272;Plateelem.bru (272)
9182;12430;plateelemBru279;Plateelem.bru (279)
9182;12431;platebruAndre29;Platebru, andre (29)
9182;12432;platebruAndre290;Platebru, andre (290)
9182;12433;bjelkebru3;Bjelkebru (3)
9182;12434;bjelkebru30;Bjelkebru (30)
9182;12435;bjelkebru300;Bjelkebru (300)
9182;12436;bjelkebruPlass31;Bjelkebru,plass (31)
9182;12437;bjelkebruPlass310;Bjelkebru,plass (310)
9182;12438;bjelkebruPlass311;Bjelkebru,plass (311)
9182;12439;bjelkebruPlass312;Bjelkebru,plass (312)
9182;12440;bjelkebruPlass313;Bjelkebru,plass (313)
9182;12441;bjelkebruPlass314;Bjelkebru,plass (314)
9182;12442;bjelkebruPlass315;Bjelkebru,plass (315)
9182;12443;bjelkebruPlass319;Bjelkebru,plass (319)
9182;12444;bjelkebruNIB32;Bjelkebru, NIB (32)
9182;12445;bjelkebruNIB320;Bjelkebru, NIB (320)
9182;12446;bjelkebruNIB321;Bjelkebru, NIB (321)
9182;12447;bjelkebruNIB322;Bjelkebru, NIB (322)
9182;12448;bjelkebruNIB323;Bjelkebru, NIB (323)
9182;12449;bjelkebruNIB324;Bjelkebru, NIB (324)
9182;12450;bjelkebruNIB329;Bjelkebru, NIB (329)
9182;12451;bjBruNOBNOT33;Bj.bru, NOB/NOT (33)
9182;12452;bjBruNOBNOT330;Bj.bru, NOB/NOT (330)
9182;12453;bjelkebruNOB331;Bjelkebru, NOB (331)
9182;12454;bjelkebruNOB332;Bjelkebru, NOB (332)
9182;12455;bjelkebruNOB333;Bjelkebru, NOB (333)
9182;12456;bjelkebruNOT334;Bjelkebru, NOT (334)
9182;12457;bjelkebruNOT335;Bjelkebru, NOT (335)
9182;12458;bjelkebruAndre339;Bjelkebru andre (339)
9182;12459;bjelkeelemBru34;Bjelkeelem.bru (34)
9182;12460;bjelkeelemBru340;Bjelkeelem.bru (340)
9182;12461;bjelkeelemBru341;Bjelkeelem.bru (341)
9182;12462;bjelkeelemBru342;Bjelkeelem.bru (342)
9182;12463;bjelkeelemBru343;Bjelkeelem.bru (343)
9182;12464;bjelkeelemBru344;Bjelkeelem.bru (344)
9182;12465;bjelkeelemBru349;Bjelkeelem.bru (349)
9182;12466;bjelkebru35;Bjelkebru (35)
9182;12467;bjelkebru350;Bjelkebru (350)
9182;12468;bjelkebru351;Bjelkebru (351)
9182;12469;bjelkebru352;Bjelkebru (352)
9182;12470;bjelkebru353;Bjelkebru (353)
9182;12471;bjelkebru354;Bjelkebru (354)
