ptid;enid;name
1148;14310;BFOU (I) 250V 4x3x0.75 S3/S7 Grey
1148;14337;BFOU (I) 250V 4x3x1.5 S3/S7 Blue
1148;14336;BFOU (I) 250V 4x3x1.5 S3/S7 Grey
1148;14299;BFOU (I) 250V 8x2x0.75 S3/S7 Blue
1148;14325;BFOU (I) 250V 8x2x1.5 S3/S7 Blue
1148;14324;BFOU (I) 250V 8x2x1.5 S3/S7 Grey
1148;14313;BFOU (I) 250V 8x3x0.75 S3/S7 Blue
1148;14312;BFOU (I) 250V 8x3x0.75 S3/S7 Grey
1148;14339;BFOU (I) 250V 8x3x1.5 S3/S7 Blue
1148;14338;BFOU (I) 250V 8x3x1.5 S3/S7 Grey
1148;14154;BFOU 0.6/1kV  12x1.5/10  P5/P12
1148;14156;BFOU 0.6/1kV  19x1.5/10  P5/P12
1148;14121;BFOU 0.6/1kV  1x300/16  P5/P12
1148;14122;BFOU 0.6/1kV  2x1,5/4  P5/P12
1148;14123;BFOU 0.6/1kV  2x2,5/6  P5/P12
1148;14125;BFOU 0.6/1kV  2x6/6  P5/P12
1148;14128;BFOU 0.6/1kV  3x1,5/6  P5/P12
1148;14132;BFOU 0.6/1kV  3x10/10  P5/P12
1148;14133;BFOU 0.6/1kV  3x16/16  P5/P12
1148;14129;BFOU 0.6/1kV  3x2.5/6  P5/P12
1148;14135;BFOU 0.6/1kV  3x35/16  P5/P12
1148;14131;BFOU 0.6/1kV  3x6/6  P5/P12
1148;14141;BFOU 0.6/1kV  4x1.5/6  P5/P12
1148;14146;BFOU 0.6/1kV  4x16/16  P5/P12
1148;14142;BFOU 0.6/1kV  4x2.5/6  P5/P12
1148;14147;BFOU 0.6/1kV  4x25/16  P5/P12
1148;14149;BFOU 0.6/1kV  4x50/25  P5/P12
1148;14144;BFOU 0.6/1kV  4x6/6  P5/P12
1148;14151;BFOU 0.6/1kV  4x95/50  P5/P12
1148;14152;BFOU 0.6/1kV  7x1.5/6  P5/P12
1148;14155;BFOU 0.6/1kV 12x2,5 /10 P5/P12
1148;14157;BFOU 0.6/1kV 19x2,5 /10 P5/P12
1148;14118;BFOU 0.6/1kV 1x150/10 P5/P12
1148;14119;BFOU 0.6/1kV 1x185 / 10 P5/P12
1148;14120;BFOU 0.6/1kV 1x240/16 P5/P12
1148;14117;BFOU 0.6/1kV 1x95/10 P5/P12
1148;14158;BFOU 0.6/1kV 27x1,5 /16 P5/P12
1148;14159;BFOU 0.6/1kV 27x2,5 /16 P5/P12
1148;14126;BFOU 0.6/1kV 2x10/ 10 P5/P12
1148;14127;BFOU 0.6/1kV 2x16/ 16 P5/P12
1148;14124;BFOU 0.6/1kV 2x4 /6 P5/P12
1148;14139;BFOU 0.6/1kV 3x120/60 P5/P12
1148;14140;BFOU 0.6/1kV 3x150/60 P5/P12
1148;14134;BFOU 0.6/1kV 3x25 / 16 P5/P12
1148;14130;BFOU 0.6/1kV 3x4 /6 P5/P12
1148;14136;BFOU 0.6/1kV 3x50 / 25 P5/P12
1148;14137;BFOU 0.6/1kV 3x70 / 35 P5/P12
1148;14138;BFOU 0.6/1kV 3x95 /50 P5/P12
1148;14145;BFOU 0.6/1kV 4x10/ 10 P5/P12
1148;14148;BFOU 0.6/1kV 4x35 / 16 P5/P12
1148;14143;BFOU 0.6/1kV 4x4 /6 P5/P12
1148;14150;BFOU 0.6/1kV 4x70/ 35 P5/P12
1148;14153;BFOU 0.6/1kV 7x2.5/6 P5/P12
1148;14651;BFSI 1KV 2X6/6
1148;14656;BFSI 1KV 3X10/10
1148;14663;BFSI 1KV 3X150/70
1148;14657;BFSI 1KV 3X16/16
1148;14658;BFSI 1KV 3X25/16
1148;14659;BFSI 1KV 3X35/16
1148;14660;BFSI 1KV 3X50/25
