ptid;enid;name
1148;14601;IFSI 1KV 4X35/16
1148;14575;IFSI 1KV 4X50 A/15
1148;14602;IFSI 1KV 4X50/25
1148;14603;IFSI 1KV 4X70/35
1148;14576;IFSI 1KV 4X95 A/29
1148;14604;IFSI 1KV 4X95/50
1148;14611;IFSI 500V 12X0,75
1148;14612;IFSI 500V 20X0,75
1148;14613;IFSI 500V 28X0,75
1148;14609;IFSI 500V 4X0,75
1148;14610;IFSI 500V 8X0,75
1148;14616;IFSI 750V 12X1,5
1148;14621;IFSI 750V 12X2,5
1148;14617;IFSI 750V 19X1,5
1148;14622;IFSI 750V 19X2,5
1148;14618;IFSI 750V 27X1,5
1148;14619;IFSI 750V 37X1,5
1148;14614;IFSI 750V 5X1,5
1148;14615;IFSI 750V 7X1,5
1148;14620;IFSI 750V 7X2,5
1148;14579;IFSI-EMC 1KV 2X1,5/1,5
1148;14580;IFSI-EMC 1KV 2X2,5/2,5
1148;14581;IFSI-EMC 1KV 2X4/4
1148;14582;IFSI-EMC 1KV 2X6/6
1148;14583;IFSI-EMC 1KV 3X1,5/1,5
1148;14584;IFSI-EMC 1KV 3X2,5/2,5
1148;14585;IFSI-EMC 1KV 3X4/4
1148;14586;IFSI-EMC 1KV 3X6/6
1148;14587;IFSI-EMC 1KV 4X1,5/1,5
1148;14588;IFSI-EMC 1KV 4X2,5/2,5
1148;14589;IFSI-EMC 1KV 4X4/4
1148;14590;IFSI-EMC 1KV 4X6/6
1148;14639;IFXI 500V 3G1,5
1148;14640;IFXI 500V 3G2,5
1148;14641;IFXI 500V 4G1,5
1148;14642;IFXI 500V 4G2,5
1148;14643;IFXI 500V 5G1,5
1148;14644;IFXI 500V 5G2,5
1148;14648;IX 750V 25 G/G
1148;14647;IX 750V 6 G/G
1148;14514;Kat. 5 U/UTP LSZH 1000 Hvit
1148;14513;Kat. 5 U/UTP LSZH 305 Hvit
1148;14512;Kat. 5 U/UTP PVC 1000 Hvit
1148;14511;Kat. 5 U/UTP PVC 305 Hvit
1148;14510;Kat. 5 U/UTP PVC B2 130 Hvit
1148;14520;Kat. 6 F/UTP LSZH B2 150 Hvit
1148;14519;Kat. 6 U/UTP LSZH 1000 Hvit
1148;14518;Kat. 6 U/UTP LSZH 305 Hvit
1148;14521;Kat. 6 U/UTP LSZH B2 150 Hvit
1148;14517;Kat. 6 U/UTP PVC 1000 Hvit
1148;14516;Kat. 6 U/UTP PVC 305 Hvit
1148;14515;Kat. 6 U/UTP PVC B2 130 Hvit
1148;14942;KGE  25 MM2  (5,65 MM)
1148;14940;KGE 25mm² (Bunt 25m)
1148;14941;KGE 5,65 MM (BUNT 100 M)
1148;14943;KGF  25 MM2  (7X2,24)
1148;14944;KGF  35 MM2  (7X2,64)
1148;14945;KGF  50 MM2  (7X3,01)
1148;14946;KGF  95 MM2 (19X2,64)
1148;14947;KGF 120 MM2 (19X2,97)
1148;14948;KHF  25 MM2  (7X2,24)
1148;14949;KHF  35 MM2  (7X2,64)
1148;14950;KHF  50 MM2  (7X3,01)
1148;14951;KHF  70 MM2 (19X2,24)
1148;14952;KHF  95 MM2 (19X2,64)
1148;14452;MK-214 Mikrofonkabel
1148;14453;MK-250 Mikrofonkabel
1148;14455;Modular kabel  4x0,14 ,hv
1148;14454;Modular kabel  4x0,14, sv
1148;14456;Modular kabel  6x0,14 ,sv
1148;14457;Modular kabel  8x0,14 ,sv
1148;14507;N-LINE 6F 1,0/4,6 TRI 16-100
