ptid;enid;name;fullname
9182;12352;131;Bjelkeramme (131)
9182;12353;132;Bjelkeramme (132)
9182;12354;133;Bjelkeramme (133)
9182;12355;134;Bjelkeramme (134)
9182;12356;139;Bjelkeramme (139)
9182;12357;14;Rør, korrugert (14)
9182;12358;140;Rør, korrugert (140)
9182;12359;141;Rør, korrugert (141)
9182;12360;142;Rør, korrugert (142)
9182;12361;143;Rør, korrugert (143)
9182;12362;144;Rør, korrugert (144)
9182;12363;145;Rør, korrugert (145)
9182;12364;149;Rør, korrugert (149)
9182;12365;15;Rør, glattveg. (15)
9182;12366;150;Rør, glattveg. (150)
9182;12367;151;Rør, glattveg. (151)
9182;12368;152;Rør, glattveg. (152)
9182;12369;153;Rør, glattveg. (153)
9182;12370;154;Rør, glattveg. (154)
9182;12371;155;Rør, glattveg. (155)
9182;12372;159;Rør, glattveg. (159)
9182;12373;16;Hvelv (16)
9182;12374;160;Hvelv (160)
9182;12375;161;Hvelv (161)
9182;12376;162;Hvelv (162)
9182;12377;163;Hvelv (163)
9182;12378;164;Hvelv (164)
9182;12379;169;Hvelv (169)
9182;12380;17;Hvelv (17)
9182;12381;170;Hvelv (170)
9182;12382;171;Hvelv (171)
9182;12383;172;Hvelv (172)
9182;12384;173;Hvelv (173)
9182;12385;174;Hvelv (174)
9182;12386;175;Hvelv (175)
9182;12387;179;Hvelv (179)
9182;12388;19;Kulvert, andre (19)
9182;12389;190;Kulvert, andre (190)
9182;12390;2;Platebru (2)
9182;12391;20;Platebru (20)
9182;12392;200;Platebru (200)
9182;12393;21;Platebru (21)
9182;12394;210;Platebru (210)
9182;12395;211;Platebru (211)
9182;12396;212;Platebru (212)
9182;12397;213;Platebru (213)
9182;12398;214;Platebru (214)
9182;12399;215;Platebru (215)
9182;12400;219;Platebru (219)
9182;12401;22;Platebru (22)
9182;12402;220;Platebru (220)
9182;12403;221;Platebru (221)
9182;12404;222;Platebru (222)
9182;12405;223;Platebru (223)
9182;12406;229;Platebru (229)
9182;12407;23;Bj.platebru (23)
9182;12408;230;Bj.platebru (230)
9182;12409;231;Bj.platebru (231)
9182;12410;232;Bj.platebru (232)
9182;12411;233;Bj.platebru (233)
9182;12412;239;Bj.platebru (239)
9182;12413;24;Bj.platebru (24)
9182;12414;240;Bj.platebru (240)
9182;12415;241;Bj.platebru (241)
9182;12416;242;Bj.platebru (242)
9182;12417;243;Bj.platebru (243)
9182;12418;249;Bj.platebru (249)
9182;12419;25;Ribbeplatebru (25)
9182;12420;250;Ribbeplatebru (250)
9182;12421;26;Platebru (26)
9182;12422;260;Platebru (260)
9182;12423;261;Platebru (261)
9182;12424;262;Platebru (262)
9182;12425;269;Platebru (269)
9182;12426;27;Plateelem.bru (27)
9182;12427;270;Plateelem.bru (270)
9182;12428;271;Plateelem.bru (271)
9182;12429;272;Plateelem.bru (272)
9182;12430;279;Plateelem.bru (279)
9182;12431;29;Platebru, andre (29)
9182;12432;290;Platebru, andre (290)
9182;12433;3;Bjelkebru (3)
9182;12434;30;Bjelkebru (30)
9182;12435;300;Bjelkebru (300)
9182;12436;31;Bjelkebru,plass (31)
9182;12437;310;Bjelkebru,plass (310)
9182;12438;311;Bjelkebru,plass (311)
9182;12439;312;Bjelkebru,plass (312)
9182;12440;313;Bjelkebru,plass (313)
9182;12441;314;Bjelkebru,plass (314)
9182;12442;315;Bjelkebru,plass (315)
9182;12443;319;Bjelkebru,plass (319)
9182;12444;32;Bjelkebru, NIB (32)
9182;12445;320;Bjelkebru, NIB (320)
9182;12446;321;Bjelkebru, NIB (321)
9182;12447;322;Bjelkebru, NIB (322)
9182;12448;323;Bjelkebru, NIB (323)
9182;12449;324;Bjelkebru, NIB (324)
9182;12450;329;Bjelkebru, NIB (329)
9182;12451;33;Bj.bru, NOB/NOT (33)
9182;12452;330;Bj.bru, NOB/NOT (330)
9182;12453;331;Bjelkebru, NOB (331)
9182;12454;332;Bjelkebru, NOB (332)
9182;12455;333;Bjelkebru, NOB (333)
9182;12456;334;Bjelkebru, NOT (334)
9182;12457;335;Bjelkebru, NOT (335)
9182;12458;339;Bjelkebru andre (339)
9182;12459;34;Bjelkeelem.bru (34)
9182;12460;340;Bjelkeelem.bru (340)
9182;12461;341;Bjelkeelem.bru (341)
9182;12462;342;Bjelkeelem.bru (342)
9182;12463;343;Bjelkeelem.bru (343)
9182;12464;344;Bjelkeelem.bru (344)
9182;12465;349;Bjelkeelem.bru (349)
9182;12466;35;Bjelkebru (35)
9182;12467;350;Bjelkebru (350)
9182;12468;351;Bjelkebru (351)
