ptid;enid;name
9899;16082;LED
9899;16083;Lysstoffrør
9899;16721;Lystråd
9899;16722;Glødelampe
9906;16079;Kommune
9906;16080;Privat
9906;16081;Statens vegvesen
9602;13816;Hjullaster
9602;13817;Gravemaskin
9602;13818;Til fots
9602;13819;Kran
9602;13820;Tau
9602;13821;Helikopter
9643;13869;Stat
9643;13870;Fylkeskommune
9643;13871;Kommune
9643;13872;Privat
9642;13863;Avaroc
9642;13864;El Montagne
9642;13865;Geobrügg
9642;13866;Isofer
9642;13868;Trumer Schutzbauten
9642;13867;Maccaferri
9644;13873;Statens Vegvesen
9644;13874;Kommune
9644;13875;Privat
8798;11634;Stein, brostein
8798;11635;Asfalt
8798;11636;Betongstein
8798;11637;Betong, prefabrikert
8799;11641;Profil 1, sirkel-30
8799;11642;Profil 2, sirkel-40
8799;11643;Profil 3, sirkel-50
8799;11644;Profil 4, modifisert sirkel-30
8799;11645;Profil 5, modifisert sirkel-40
8799;11646;Profil 6, modifisert sirkel-50
8799;11647;Profil 7, trapes-30
8799;11648;Profil 8, trapes-40
8799;11649;Profil 9, trapes-50
8799;11741;Profil 10, Pute-30
8799;11742;Profil 11, Pute-40
8799;11779;Kuleflate
8799;11780;Sopp
8799;11781;H-hump
8799;11782;S-Hump
8799;11783;Dobbel hump
1156;3594;Fartshump
1156;5543;Fartsputer
1156;3595;Busshump
1156;7918;Trafikkøy
1156;7917;Innsnevring
1156;7919;Sideforskyvning
1156;11778;Innsnevring og sideforskyvning
1156;7920;Rumlefelt
1156;7921;Fortausutvidelse i kryss
1156;11652;Fartsdump
7985;10251;Stat
7985;10713;Fylkeskommune
7985;10315;Kommune
7985;10379;Privat
1737;3516;Ja
1737;3554;Nei
1104;2492;Rør
1104;2493;H/i-bjelker
1104;2494;Elektrisk
4651;5652;Statens vegvesen
4651;5653;Kommune
4651;5654;Privat
4595;5533;Tildekkes
4595;5534;Fjernes
7989;10255;Stat
7989;10717;Fylkeskommune
7989;10319;Kommune
7989;10383;Privat
1813;3519;Ja
1813;3557;Nei
8053;10447;Statens vegvesen
8053;10525;Kommune
8053;10603;Privat
5536;7868;Anlegg
5536;7869;Vedlikehold
1279;4610;Betjeningsstasjon tunnel
1279;4611;Kiosk/trafo/skap
1279;4612;Pumpestasjon/basseng
1279;4613;Lager
8002;10268;Stat
8002;10730;Fylkeskommune
8002;10332;Kommune
8002;10396;Privat
8067;10461;Statens vegvesen
8067;10539;Kommune
8067;10617;Privat
10076;16583;Stat
10076;16584;Fylkeskommune
10076;16585;Kommune
10076;16586;Privat
10057;16365;IP00
10057;16366;IP01
10057;16367;IP02
10057;16368;IP03
10057;16369;IP04
10057;16370;IP05
10057;16371;IP06
10057;16372;IP07
10057;16373;IP08
10057;16374;IP10
10057;16375;IP11
10057;16376;IP12
10057;16377;IP13
10057;16378;IP14
10057;16379;IP15
10057;16380;IP16
10057;16381;IP17
10057;16382;IP18
10057;16383;IP20
10057;16384;IP21
10057;16385;IP22
10057;16386;IP23
10057;16387;IP24
10057;16388;IP25
10057;16389;IP26
10057;16390;IP27
10057;16391;IP28
10057;16392;IP30
10057;16393;IP31
10057;16394;IP32
10057;16395;IP33
10057;16396;IP34
10057;16397;IP35
10057;16398;IP36
10057;16399;IP37
10057;16400;IP38
10057;16401;IP40
10057;16402;IP41
10057;16403;IP42
10057;16404;IP43
10057;16405;IP44
10057;16406;IP45
10057;16407;IP46
10057;16408;IP47
10057;16409;IP48
10057;16410;IP50
10057;16411;IP51
10057;16412;IP52
10057;16413;IP53
10057;16414;IP54
10057;16415;IP55
10057;16416;IP56
10057;16417;IP57
10057;16418;IP58
10057;16419;IP60
10057;16420;IP61
10057;16421;IP62
10057;16422;IP63
10057;16423;IP64
10057;16424;IP65
10057;16425;IP66
10057;16426;IP67
10057;16427;IP68
10063;16429;< 10m
10063;16430;< 30m
10063;16431;< 100m
10063;16432;> 100m
10065;16438;Ute
10065;16439;I tunnel
10065;16440;I bygg
10037;16356;Delvis
10037;16357;Full
